DATE,ZAFCPIENGMINMEI
2017-10-01,114.230431455978
2017-11-01,114.762253069659
2017-12-01,117.539543718883
2018-01-01,116.702202070947
2018-02-01,115.520376262767
2018-03-01,113.816792423115
2018-04-01,117.153515026953
2018-05-01,119.625285641922
2018-06-01,122.826278906217
2018-07-01,127.98192948426
2018-08-01,128.090048482869
2018-09-01,128.159203355487
2018-10-01,132.75826042518
2018-11-01,133.644629781315
2018-12-01,127.203679126734
2019-01-01,119.709148827
2019-02-01,119.886422698227
2019-03-01,123.25462625154
2019-04-01,128.562778806141
2019-05-01,130.98552171291
2019-06-01,131.635525907409
2019-07-01,133.216540476562
2019-08-01,133.962019681765
2019-09-01,134.552932585855
2019-10-01,135.133781907736
2019-11-01,134.661051584464
2019-12-01,135.251964488554
2020-01-01,135.074690617327
